Selection Date,Symbol,Price Found,Pre-FINRA Rank,Pre-Pressure Rank,Final Rank,Technical Score,X-Factor Score,X-Factor Boost,Venue Score,Venue Boost,Pressure Building Index,Pressure Label,Pressure Tier,Pressure Boost,Final Score,Structure Timing,FINRA Percentile,Multi-Venue Weeks,Consecutive Multi-Venue Weeks,Strongest Unusual Venue Count
2026-09-05,TRI,105.68,4,1,1,87.0,69,5,100,8,75,PRESSURE_BUILD_DETECTED,ACTIVE_PRESSURE_BUILD,4,104.0,EARLY_CONSTRUCTIVE,83.0,2,1,12
2026-09-05,TGTX,55.99,9,4,2,82.0,60,2,100,8,94,STRONG_PRESSURE_BUILD,ACTIVE_PRESSURE_BUILD,6,98.0,EARLY_CONSTRUCTIVE,80.9,4,4,9
2026-09-05,MDGL,540.73,3,3,3,88.0,32,0,100,8,63,QUALIFIED_PRESSURE_EVIDENCE,ACTIVE_PRESSURE_BUILD,0,96.0,CONSTRUCTIVE_BASE,53.1,2,0,19
2026-09-05,UROY,4.45,9,5,3,82.0,55,2,97,8,75,PRESSURE_BUILD_DETECTED,ACTIVE_PRESSURE_BUILD,4,96.0,ADVANCED_TREND,87.2,3,3,13
2026-09-05,BIIB,220.97,1,2,5,99.0,39,0,89,0,47,RECENT_OR_INCOMPLETE_PRESSURE_EVIDENCE,RECENT_PRESSURE_EVIDENCE,0,99.0,EARLY_CONSTRUCTIVE,8.2,1,0,7
2026-09-05,LIVN,81.92,2,6,6,90.0,35,0,47,0,40,NO_CURRENT_PRESSURE_CONFIRMATION,UNCONFIRMED,0,90.0,EARLY_CONSTRUCTIVE,48.9,1,0,2
2026-09-08,TRI,105.68,3,1,1,89.0,69,5,100,8,75,PRESSURE_BUILD_DETECTED,ACTIVE_PRESSURE_BUILD,4,106.0,EARLY_CONSTRUCTIVE,83.0,2,1,12
2026-09-08,CHEF,114.36,12,3,2,83.0,81,8,100,8,92,STRONG_PRESSURE_BUILD,ACTIVE_PRESSURE_BUILD,6,105.0,EARLY_CONSTRUCTIVE,100.0,3,3,17
2026-09-08,UROY,4.44,7,4,3,87.0,57,2,97,8,75,PRESSURE_BUILD_DETECTED,ACTIVE_PRESSURE_BUILD,4,101.0,ADVANCED_TREND,87.2,3,3,13
2026-09-08,TGTX,55.98,11,6,4,84.0,62,2,100,8,94,STRONG_PRESSURE_BUILD,ACTIVE_PRESSURE_BUILD,6,100.0,EARLY_CONSTRUCTIVE,80.9,4,4,9
2026-09-08,MDGL,541.08,4,5,5,88.0,32,0,100,8,63,QUALIFIED_PRESSURE_EVIDENCE,ACTIVE_PRESSURE_BUILD,0,96.0,CONSTRUCTIVE_BASE,53.1,2,0,19
2026-09-08,BIIB,220.83,1,2,6,101.0,39,0,89,0,47,RECENT_OR_INCOMPLETE_PRESSURE_EVIDENCE,RECENT_PRESSURE_EVIDENCE,0,101.0,EARLY_CONSTRUCTIVE,8.2,1,0,7
