symbol,grade,entry_date,exit_date,entry_price,percent_move,days_held,exit_type
ABVX,B+,2025-10-31,2026-01-28,102.42,11.29,59,EXIT
ACDC,B+,2026-03-11,2026-04-08,5.86,1.88,19,OPEN
ADAM,B+,2025-11-26,2025-11-28,7.66,-0.52,1,FAILED_BREAKOUT_SMALL
AMGN,B+,2025-11-06,2026-03-20,315.59,10.21,91,EXIT
AMZN,B+,2025-06-30,2025-09-23,219.39,0.6,59,EXIT
ANAB,B,2025-06-04,2025-06-05,21.27,-8.0,1,HARD_STOP_MID
ATAT,B,2025-11-04,2025-11-19,39.66,-6.0,11,FAILED_MID_TREND
AVO,B+,2025-06-13,2025-06-23,12.33,-0.57,5,FAILED_BREAKOUT_SMALL
BIIB,B+,2026-02-09,2026-03-13,193.81,-6.33,23,EXIT
CBRL,B,2025-07-24,2025-07-28,66.86,-4.53,2,FAILED_MID_BREAKOUT
FFBC,B,2025-08-25,2025-09-10,26.5,-1.32,11,FAILED_MID_TREND
FFBC,B,2026-01-30,2026-02-27,28.74,-2.33,19,FAILED_MID_TREND
FFIV,B+,2025-10-09,2025-10-16,342.35001,-7.0,5,HARD_STOP_LARGE
FORM,B,2025-09-17,2026-04-08,31.77,259.87,139,OPEN
FRPT,B,2026-01-21,2026-02-05,69.86,-3.56,11,FAILED_MID_TREND
FTAI,B+,2025-09-09,2025-11-04,165.39,-7.0,40,HARD_STOP_LARGE
FUTU,B+,2025-07-09,2025-10-10,142.39999,8.57,66,EXIT
GILT,B+,2025-09-09,2025-09-10,10.68,-1.03,1,FAILED_BREAKOUT_SMALL
HAS,B,2025-06-25,2025-09-16,71.68,4.2,57,EXIT
HON,B+,2025-10-24,2025-10-27,203.71347,-0.5,1,EXIT
INDV,B+,2025-06-02,2026-02-10,12.46,168.54,174,EXIT
INSM,A+,2025-08-13,2025-12-18,122.87,35.55,89,EXIT
ISSC,B+,2025-06-30,2025-07-01,13.88,-0.36,1,FAILED_BREAKOUT_SMALL
LIND,B+,2025-07-02,2025-09-25,12.64,1.82,59,EXIT
LITE,B+,2025-08-29,2026-04-08,132.81,554.38,151,OPEN
MTSI,B+,2025-12-04,2025-12-16,187.059998,-7.0,8,HARD_STOP_LARGE
ODFL,B+,2025-12-04,2026-04-08,153.50999,34.84,84,OPEN
PAX,B+,2026-01-07,2026-01-09,17.4,-0.69,2,FAILED_BREAKOUT_SMALL
PAYO,B+,2026-01-26,2026-02-12,6.09,-11.66,13,EXIT
POWL,B,2025-07-18,2025-07-21,76.083336,-3.22,1,FAILED_MID_BREAKOUT
PTGX,B,2025-08-28,2026-01-08,58.14,37.94,91,EXIT
PYPL,B,2025-10-08,2025-10-10,76.13,-8.26,2,FAILED_MID_BREAKOUT
SIDU,B+,2025-07-11,2025-07-14,1.83,-4.92,1,FAILED_BREAKOUT_SMALL
SNPS,B+,2025-07-07,2025-09-10,536.52002,-7.0,46,HARD_STOP_LARGE
STOK,B+,2025-06-04,2025-06-05,10.94,-0.55,1,FAILED_BREAKOUT_SMALL
STOK,B+,2025-07-21,2025-11-05,12.31,85.38,76,EXIT
SWIM,B+,2025-08-07,2025-08-11,7.31,-2.19,2,FAILED_BREAKOUT_SMALL
TBPH,B+,2025-08-14,2026-02-26,12.94,40.57,135,EXIT
TECH,B,2025-07-25,2025-08-01,58.78,-8.0,5,HARD_STOP_MID
TVTX,B,2025-10-28,2026-01-13,29.81,-2.35,52,FAILED_MID_TREND
TWST,B,2026-01-07,2026-01-08,36.55,-4.95,1,FAILED_MID_BREAKOUT
TYRA,B+,2025-10-16,2025-10-17,14.84,-2.29,1,FAILED_BREAKOUT_SMALL
UAL,B+,2025-08-13,2025-10-01,99.79,-6.65,34,EXIT
VRSN,B+,2025-07-28,2025-07-29,305.98001,-7.0,1,HARD_STOP_LARGE
VRSN,B+,2026-03-26,2026-04-08,250.8,7.9,8,OPEN
VSAT,B,2026-03-20,2026-04-08,46.39,19.77,12,OPEN
ZYME,B+,2025-09-12,2026-01-28,15.74,41.74,94,EXIT
ZYME,B+,2025-10-13,2026-01-28,18.11,23.19,73,EXIT
