symbol,grade,entry_date,exit_date,entry_price,exit_price,percent_move,days_held,exit_type
ASTL,B,2026-05-29,2026-06-02,5.62,5.61,-0.18,2,FAILED_BREAKOUT_SMALL
BLFS,A,2026-05-21,2026-05-22,24.74,23.95,-3.19,1,FAILED_MID_BREAKOUT
CGNT,B,2026-05-07,2026-05-11,11.0,10.86,-1.27,2,FAILED_BREAKOUT_SMALL
CGNX,B,2026-05-06,2026-06-05,62.26,60.82,-2.31,21,FAILED_MID_TREND
FIVE,A,2026-04-21,2026-05-08,237.10001,220.5030093,-7.0,13,HARD_STOP_LARGE
FLEX,B,2026-06-01,2026-06-12,148.0099945,149.71001,1.15,9,OPEN
LOGI,B,2026-05-06,2026-06-12,103.42,110.81,7.15,26,OPEN
QNST,B,2026-05-06,2026-05-11,13.02,12.74,-2.15,3,FAILED_BREAKOUT_SMALL
ROST,B,2026-05-26,2026-06-12,234.67999,240.13,2.32,13,OPEN
SRTA,B,2026-05-26,2026-06-01,6.14,6.12,-0.33,4,FAILED_BREAKOUT_SMALL
SSYS,B,2026-05-27,2026-06-03,9.91,9.85,-0.61,5,FAILED_BREAKOUT_SMALL
STAA,B,2026-05-14,2026-05-28,32.0099983,29.449198436,-8.0,9,HARD_STOP_MID
